unit_serial,measurement_date,cooling_plate_flatness_mm,channel_depth_mm,channel_width_mm,surface_roughness_um,leak_test_pressure_kpa,leak_test_result,weight_g,inspector_id
TM4200-260063,2026-03-03,0.064,1.485,2.946,0.81,150.2,PASS,1204.7,KT-103
TM4200-260064,2026-03-03,0.054,1.542,2.94,0.95,149.5,PASS,1185.5,KT-104
TM4200-260065,2026-03-03,0.05,1.469,2.988,0.83,150.4,PASS,1207.7,KT-102
TM4200-260066,2026-03-03,0.045,1.476,3.05,0.54,150.2,PASS,1208.8,KT-103
TM4200-260067,2026-03-03,0.043,1.506,2.92,0.64,150.0,PASS,1200.2,KT-104
TM4200-260068,2026-03-03,0.051,1.512,2.9,0.85,150.2,PASS,1203.4,KT-104
TM4200-260069,2026-03-03,0.045,1.515,3.049,1.04,149.8,PASS,1203.4,KT-105
TM4200-260070,2026-03-03,0.047,1.527,2.964,1.12,149.8,PASS,1196.1,KT-103
TM4200-260071,2026-03-03,0.049,1.506,2.976,0.96,149.9,PASS,1203.3,KT-102
TM4200-260072,2026-03-03,0.04,1.515,2.889,0.86,149.4,PASS,1195.1,KT-102
TM4200-260073,2026-03-03,0.054,1.492,2.959,0.95,150.3,PASS,1196.3,KT-104
TM4200-260074,2026-03-03,0.083,1.502,3.0,0.67,150.4,PASS,1206.8,KT-103
TM4200-260075,2026-03-03,0.027,1.503,3.056,0.77,149.8,PASS,1205.8,KT-103
TM4200-260076,2026-03-04,0.052,1.506,2.954,0.64,150.1,PASS,1195.8,KT-101
TM4200-260077,2026-03-04,0.039,1.523,3.099,0.55,149.9,PASS,1195.6,KT-103
TM4200-260078,2026-03-04,0.055,1.517,2.959,0.87,150.1,PASS,1196.1,KT-102
TM4200-260079,2026-03-04,0.049,1.501,2.959,0.84,149.8,PASS,1204.4,KT-103
TM4200-260080,2026-03-04,0.057,1.476,3.092,0.94,149.7,PASS,1194.0,KT-105
TM4200-260081,2026-03-04,0.062,1.502,3.013,0.91,150.3,PASS,1202.1,KT-104
TM4200-260082,2026-03-04,0.05,1.499,2.967,0.85,150.0,PASS,1204.5,KT-103
TM4200-260083,2026-03-04,0.062,1.506,2.991,0.91,150.6,PASS,1199.5,KT-105
TM4200-260084,2026-03-04,0.02,1.566,3.081,0.79,150.0,PASS,1206.1,KT-105
TM4200-260085,2026-03-04,0.067,1.484,3.088,0.88,149.7,PASS,1198.2,KT-103
TM4200-260086,2026-03-04,0.053,1.513,2.951,0.65,150.4,PASS,1198.7,KT-104
TM4200-260087,2026-03-04,0.061,1.532,2.997,0.87,150.2,PASS,1194.1,KT-102
TM4200-260088,2026-03-04,0.033,1.503,3.005,0.93,150.2,PASS,1206.1,KT-105
TM4200-260089,2026-03-04,0.038,1.57,2.941,0.67,150.4,PASS,1195.4,KT-102
TM4200-260090,2026-03-04,0.05,1.489,2.997,0.81,149.8,PASS,1202.1,KT-102
TM4200-260091,2026-03-04,0.048,1.51,3.0,0.68,150.0,PASS,1199.6,KT-101
TM4200-260092,2026-03-04,0.051,1.476,3.068,0.69,149.9,PASS,1193.7,KT-105
TM4200-260093,2026-03-04,0.061,1.489,3.072,0.58,149.6,PASS,1196.3,KT-102
TM4200-260094,2026-03-04,0.027,1.507,2.98,1.05,149.9,PASS,1208.3,KT-105
TM4200-260095,2026-03-04,0.06,1.525,2.987,1.01,150.4,PASS,1201.2,KT-101
TM4200-260096,2026-03-04,0.048,1.51,3.04,0.91,150.1,PASS,1193.9,KT-103
TM4200-260097,2026-03-04,0.046,1.538,2.965,1.19,149.6,PASS,1201.8,KT-103
TM4200-260098,2026-03-04,0.03,1.497,3.035,0.76,149.5,PASS,1199.1,KT-103
TM4200-260099,2026-03-04,0.054,1.49,2.995,1.41,150.5,PASS,1220.7,KT-101
TM4200-260100,2026-03-04,0.019,1.581,2.942,0.75,147.3,FAIL,1201.7,KT-101
TM4200-260101,2026-03-05,0.056,1.512,2.943,0.85,149.8,PASS,1197.7,KT-102
TM4200-260102,2026-03-05,0.03,1.478,3.087,0.72,149.9,PASS,1208.5,KT-103
TM4200-260103,2026-03-05,0.049,1.479,2.991,0.87,149.6,PASS,1189.0,KT-104
TM4200-260104,2026-03-05,0.047,1.472,3.098,0.97,150.4,PASS,1200.6,KT-103
TM4200-260105,2026-03-05,0.062,1.528,2.969,0.78,149.9,PASS,1212.0,KT-102
TM4200-260106,2026-03-05,0.046,1.489,3.017,1.16,150.4,PASS,1199.3,KT-102
TM4200-260107,2026-03-05,0.04,1.504,3.144,0.85,150.0,PASS,1189.6,KT-104
TM4200-260108,2026-03-05,0.042,1.498,2.937,0.85,150.4,PASS,1197.6,KT-103
TM4200-260109,2026-03-05,0.063,1.522,2.886,0.62,150.1,PASS,1208.7,KT-105
TM4200-260110,2026-03-05,0.054,1.475,3.077,0.88,150.3,PASS,1202.3,KT-103
TM4200-260111,2026-03-05,0.043,1.468,2.95,0.77,150.2,PASS,1195.0,KT-103
TM4200-260112,2026-03-05,0.045,1.507,2.999,0.68,150.2,PASS,1195.9,KT-101
TM4200-260113,2026-03-05,0.029,1.518,2.965,0.64,150.1,PASS,1196.6,KT-101
TM4200-260114,2026-03-05,0.053,1.51,3.016,1.33,149.9,PASS,1202.2,KT-105
TM4200-260115,2026-03-05,0.027,1.476,2.943,0.75,150.6,PASS,1208.0,KT-102
TM4200-260116,2026-03-05,0.057,1.52,2.989,0.51,149.7,PASS,1206.3,KT-103
TM4200-260117,2026-03-05,0.05,1.478,3.027,0.66,150.0,PASS,1202.7,KT-103
TM4200-260118,2026-03-05,0.077,1.484,2.94,0.79,150.0,PASS,1192.0,KT-101
TM4200-260119,2026-03-05,0.035,1.472,2.958,0.91,150.1,PASS,1192.0,KT-103
TM4200-260120,2026-03-05,0.047,1.539,2.979,0.91,149.9,PASS,1203.2,KT-102
TM4200-260121,2026-03-05,0.07,1.519,2.914,0.94,150.1,PASS,1191.9,KT-101
TM4200-260122,2026-03-05,0.062,1.518,2.975,0.67,149.9,PASS,1198.6,KT-103
TM4200-260123,2026-03-05,0.04,1.537,3.007,0.87,149.5,PASS,1201.8,KT-103
TM4200-260124,2026-03-05,0.051,1.584,2.976,0.62,150.0,PASS,1193.2,KT-101
TM4200-260125,2026-03-05,0.048,1.449,2.984,0.68,149.7,PASS,1193.9,KT-103
TM4200-260126,2026-03-06,0.051,1.478,2.999,0.62,149.5,PASS,1199.4,KT-104
TM4200-260127,2026-03-06,0.04,1.482,2.961,0.56,150.0,PASS,1203.0,KT-102
TM4200-260128,2026-03-06,0.047,1.474,3.041,1.01,150.1,PASS,1206.4,KT-105
TM4200-260129,2026-03-06,0.029,1.468,3.086,0.94,150.2,PASS,1203.6,KT-104
TM4200-260130,2026-03-06,0.05,1.491,2.972,1.0,150.2,PASS,1200.4,KT-104
TM4200-260131,2026-03-06,0.053,1.464,3.029,0.81,149.4,PASS,1195.5,KT-101
TM4200-260132,2026-03-06,0.045,1.51,2.986,0.96,149.6,PASS,1193.6,KT-104
TM4200-260133,2026-03-06,0.029,1.502,3.022,0.45,150.6,PASS,1196.9,KT-102
TM4200-260134,2026-03-06,0.06,1.514,3.094,0.97,149.7,PASS,1202.5,KT-104
TM4200-260135,2026-03-06,0.052,1.515,3.031,0.84,150.2,PASS,1202.0,KT-105
TM4200-260136,2026-03-06,0.039,1.518,2.894,0.93,149.8,PASS,1187.4,KT-102
TM4200-260137,2026-03-06,0.045,1.489,3.027,0.88,150.0,PASS,1195.3,KT-102
TM4200-260138,2026-03-06,0.03,1.564,3.074,0.6,149.8,PASS,1207.2,KT-101
TM4200-260139,2026-03-06,0.036,1.507,2.987,0.5,150.2,PASS,1200.5,KT-104
TM4200-260140,2026-03-06,0.042,1.444,3.06,0.66,150.0,PASS,1191.5,KT-104
TM4200-260141,2026-03-06,0.063,1.47,2.959,0.91,149.9,PASS,1214.1,KT-103
TM4200-260142,2026-03-06,0.04,1.448,2.911,0.94,149.7,PASS,1199.8,KT-101
TM4200-260143,2026-03-06,0.056,1.501,3.008,0.53,150.1,PASS,1202.3,KT-102
TM4200-260144,2026-03-06,0.042,1.496,2.895,0.6,149.6,PASS,1202.4,KT-103
TM4200-260145,2026-03-06,0.051,1.486,2.986,0.66,150.1,PASS,1197.8,KT-105
TM4200-260146,2026-03-06,0.046,1.56,3.077,0.73,150.8,PASS,1195.6,KT-101
TM4200-260147,2026-03-06,0.058,1.516,2.885,0.53,150.4,PASS,1212.7,KT-102
TM4200-260148,2026-03-06,0.042,1.522,2.923,0.52,150.2,PASS,1206.0,KT-104
TM4200-260149,2026-03-06,0.029,1.472,2.938,0.64,150.0,PASS,1204.9,KT-102
TM4200-260150,2026-03-06,0.031,1.47,2.996,0.82,149.4,PASS,1203.5,KT-105
TM4200-260151,2026-03-07,0.042,1.501,2.978,0.56,149.6,PASS,1194.0,KT-105
TM4200-260152,2026-03-07,0.033,1.505,3.084,0.78,150.4,PASS,1207.7,KT-102
TM4200-260153,2026-03-07,0.053,1.444,3.057,1.01,149.8,PASS,1194.9,KT-104
TM4200-260154,2026-03-07,0.042,1.495,3.03,0.54,149.8,PASS,1201.7,KT-104
TM4200-260155,2026-03-07,0.076,1.5,3.009,0.76,150.0,PASS,1190.2,KT-104
TM4200-260156,2026-03-07,0.027,1.494,3.024,1.0,149.7,PASS,1187.8,KT-101
TM4200-260157,2026-03-07,0.05,1.476,2.948,0.72,149.6,PASS,1201.9,KT-101
TM4200-260158,2026-03-07,0.034,1.484,3.051,0.69,150.0,PASS,1195.1,KT-102
TM4200-260159,2026-03-07,0.042,1.495,2.933,1.03,149.7,PASS,1188.1,KT-101
TM4200-260160,2026-03-07,0.05,1.503,3.05,0.74,149.8,PASS,1203.2,KT-102
TM4200-260161,2026-03-07,0.02,1.518,3.071,1.02,149.8,PASS,1212.7,KT-104
TM4200-260162,2026-03-07,0.051,1.532,3.013,0.89,150.2,PASS,1208.3,KT-103
TM4200-260163,2026-03-07,0.071,1.491,2.989,0.73,149.9,PASS,1198.5,KT-102
TM4200-260164,2026-03-07,0.043,1.486,3.024,0.9,149.9,PASS,1200.1,KT-101
TM4200-260165,2026-03-07,0.051,1.513,2.828,0.86,150.2,PASS,1205.3,KT-102
TM4200-260166,2026-03-07,0.06,1.518,3.018,1.0,150.0,PASS,1206.7,KT-103
TM4200-260167,2026-03-07,0.046,1.487,2.993,0.69,149.9,PASS,1197.9,KT-104
TM4200-260168,2026-03-07,0.041,1.524,2.997,0.81,150.1,PASS,1200.2,KT-102
TM4200-260169,2026-03-07,0.021,1.529,3.042,0.79,150.2,PASS,1201.8,KT-102
TM4200-260170,2026-03-07,0.056,1.539,2.996,0.94,150.0,PASS,1203.3,KT-103
TM4200-260171,2026-03-07,0.047,1.553,2.932,0.59,150.0,PASS,1199.2,KT-101
TM4200-260172,2026-03-07,0.036,1.474,2.992,1.0,149.8,PASS,1199.3,KT-102
TM4200-260173,2026-03-07,0.05,1.5,3.004,0.89,149.7,PASS,1208.3,KT-101
TM4200-260174,2026-03-07,0.041,1.5,3.007,0.54,150.2,PASS,1207.3,KT-103
TM4200-260175,2026-03-07,0.042,1.497,3.01,1.04,150.1,PASS,1202.9,KT-103
TM4200-260176,2026-03-08,0.055,1.481,3.062,1.25,150.1,PASS,1210.3,KT-103
TM4200-260177,2026-03-08,0.032,1.455,2.935,1.0,150.1,PASS,1197.7,KT-104
TM4200-260178,2026-03-08,0.061,1.503,3.011,1.09,150.0,PASS,1209.7,KT-102
TM4200-260179,2026-03-08,0.031,1.477,3.077,0.82,150.2,PASS,1203.3,KT-105
TM4200-260180,2026-03-08,0.04,1.503,2.896,0.47,150.3,PASS,1219.6,KT-105
TM4200-260181,2026-03-08,0.071,1.476,3.011,0.43,150.3,PASS,1192.8,KT-101
TM4200-260182,2026-03-08,0.062,1.467,2.965,0.85,150.0,PASS,1195.9,KT-105
TM4200-260183,2026-03-08,0.049,1.507,2.978,0.68,150.4,PASS,1202.5,KT-101
TM4200-260184,2026-03-08,0.037,1.505,2.946,0.62,150.1,PASS,1202.4,KT-102
TM4200-260185,2026-03-08,0.042,1.517,2.99,0.79,150.2,PASS,1211.7,KT-103
TM4200-260186,2026-03-08,0.049,1.566,3.11,0.92,150.1,PASS,1196.0,KT-101
TM4200-260187,2026-03-08,0.048,1.508,2.924,0.51,150.1,PASS,1205.4,KT-102
TM4200-260188,2026-03-08,0.047,1.515,2.93,0.71,149.8,PASS,1207.0,KT-101
TM4200-260189,2026-03-08,0.048,1.468,2.922,1.1,150.2,PASS,1204.2,KT-103
TM4200-260190,2026-03-08,0.045,1.461,3.104,0.58,150.9,PASS,1194.2,KT-105
TM4200-260191,2026-03-08,0.031,1.547,2.972,0.97,149.9,PASS,1208.4,KT-105
TM4200-260192,2026-03-08,0.042,1.472,2.998,0.7,150.0,PASS,1207.4,KT-102
TM4200-260193,2026-03-08,0.059,1.469,2.976,0.91,149.9,PASS,1203.6,KT-103
TM4200-260194,2026-03-08,0.032,1.499,2.943,1.02,149.9,PASS,1201.2,KT-103
TM4200-260195,2026-03-08,0.046,1.497,2.986,0.95,150.5,PASS,1201.4,KT-103
TM4200-260196,2026-03-08,0.038,1.473,3.147,0.98,149.8,PASS,1199.5,KT-104
TM4200-260197,2026-03-08,0.049,1.491,3.084,0.57,149.9,PASS,1203.8,KT-105
TM4200-260198,2026-03-08,0.043,1.537,2.949,1.02,149.5,PASS,1200.2,KT-103
TM4200-260199,2026-03-08,0.066,1.476,3.039,0.63,149.8,PASS,1194.9,KT-101
TM4200-260200,2026-03-08,0.054,1.458,2.95,0.85,149.5,PASS,1193.7,KT-105
TM4200-260201,2026-03-09,0.032,1.528,2.893,0.85,150.2,PASS,1195.5,KT-105
TM4200-260202,2026-03-09,0.056,1.515,3.061,0.9,150.8,PASS,1201.3,KT-102
TM4200-260203,2026-03-09,0.039,1.481,3.07,0.87,149.9,PASS,1199.8,KT-103
TM4200-260204,2026-03-09,0.041,1.453,3.063,0.63,149.5,PASS,1201.3,KT-105
TM4200-260205,2026-03-09,0.052,1.478,2.972,0.53,150.3,PASS,1203.0,KT-103
TM4200-260206,2026-03-09,0.042,1.498,2.99,0.97,149.8,PASS,1196.2,KT-103
TM4200-260207,2026-03-09,0.059,1.535,3.045,0.84,150.4,PASS,1208.8,KT-105
TM4200-260208,2026-03-09,0.039,1.469,3.023,1.03,149.9,PASS,1198.4,KT-105
TM4200-260209,2026-03-09,0.041,1.497,2.976,0.79,149.8,PASS,1197.4,KT-103
TM4200-260210,2026-03-09,0.04,1.52,2.903,0.52,149.9,PASS,1202.9,KT-101
TM4200-260211,2026-03-09,0.041,1.429,3.007,0.99,150.2,PASS,1189.0,KT-103
TM4200-260212,2026-03-09,0.061,1.531,3.065,0.73,149.9,PASS,1195.3,KT-104
TM4200-260213,2026-03-09,0.056,1.465,2.928,0.87,149.9,PASS,1205.9,KT-102
TM4200-260214,2026-03-09,0.069,1.51,3.038,0.67,149.9,PASS,1189.6,KT-103
TM4200-260215,2026-03-09,0.075,1.507,3.02,1.13,149.6,PASS,1206.7,KT-104
TM4200-260216,2026-03-09,0.036,1.533,3.045,0.62,150.1,PASS,1209.1,KT-101
TM4200-260217,2026-03-09,0.049,1.517,3.052,0.73,149.5,PASS,1197.8,KT-103
TM4200-260218,2026-03-09,0.034,1.429,2.958,0.82,149.9,PASS,1201.8,KT-104
TM4200-260219,2026-03-09,0.039,1.476,2.903,0.58,150.2,PASS,1206.7,KT-102
TM4200-260220,2026-03-09,0.04,1.504,2.968,0.87,150.1,PASS,1197.2,KT-103
TM4200-260221,2026-03-09,0.035,1.494,3.053,1.12,150.2,PASS,1205.2,KT-104
TM4200-260222,2026-03-09,0.035,1.514,2.967,0.7,150.0,PASS,1196.0,KT-101
TM4200-260223,2026-03-09,0.046,1.524,2.958,0.88,150.4,PASS,1197.1,KT-104
TM4200-260224,2026-03-09,0.033,1.518,2.891,0.25,150.3,PASS,1195.2,KT-102
TM4200-260225,2026-03-09,0.058,1.494,3.105,0.79,150.1,PASS,1202.1,KT-102
TM4200-260226,2026-03-10,0.037,1.445,3.05,0.74,150.3,PASS,1206.9,KT-104
TM4200-260227,2026-03-10,0.082,1.486,3.046,0.64,147.3,FAIL,1198.9,KT-101
TM4200-260228,2026-03-10,0.043,1.512,3.058,1.02,149.9,PASS,1192.4,KT-101
TM4200-260229,2026-03-10,0.049,1.467,3.035,0.73,149.6,PASS,1193.5,KT-103
TM4200-260230,2026-03-10,0.032,1.519,2.985,0.76,150.1,PASS,1202.4,KT-105
TM4200-260231,2026-03-10,0.068,1.527,2.99,0.72,150.2,PASS,1211.1,KT-101
TM4200-260232,2026-03-10,0.061,1.504,2.974,0.42,150.3,PASS,1202.4,KT-104
TM4200-260233,2026-03-10,0.052,1.408,3.158,0.57,149.7,PASS,1197.7,KT-101
TM4200-260234,2026-03-10,0.032,1.462,3.033,0.99,149.7,PASS,1204.6,KT-103
TM4200-260235,2026-03-10,0.051,1.557,2.972,0.38,150.1,PASS,1198.6,KT-103
TM4200-260236,2026-03-10,0.035,1.484,3.028,0.65,150.0,PASS,1197.7,KT-103
TM4200-260237,2026-03-10,0.066,1.44,2.939,0.72,149.4,PASS,1194.2,KT-101
TM4200-260238,2026-03-10,0.058,1.537,3.09,1.15,150.1,PASS,1208.5,KT-104
TM4200-260239,2026-03-10,0.049,1.5,2.96,0.95,149.4,PASS,1184.8,KT-102
TM4200-260240,2026-03-10,0.019,1.533,3.03,0.69,149.7,PASS,1204.8,KT-104
TM4200-260241,2026-03-10,0.036,1.508,3.064,1.06,150.4,PASS,1197.2,KT-104
TM4200-260242,2026-03-10,0.056,1.514,3.023,0.65,150.5,PASS,1197.5,KT-103
TM4200-260243,2026-03-10,0.063,1.511,3.006,1.0,149.6,PASS,1210.2,KT-102
TM4200-260244,2026-03-10,0.061,1.521,3.001,0.53,149.9,PASS,1195.7,KT-104
TM4200-260245,2026-03-10,0.029,1.568,2.997,1.01,150.0,PASS,1195.9,KT-105
TM4200-260246,2026-03-10,0.052,1.529,2.965,0.72,150.5,PASS,1199.2,KT-105
TM4200-260247,2026-03-10,0.06,1.453,2.973,0.59,149.9,PASS,1202.5,KT-105
TM4200-260248,2026-03-10,0.028,1.513,3.089,0.76,149.9,PASS,1197.3,KT-102
TM4200-260249,2026-03-10,0.048,1.534,2.993,0.86,150.5,PASS,1190.6,KT-103
TM4200-260250,2026-03-10,0.051,1.536,2.953,0.7,149.9,PASS,1194.8,KT-102
TM4200-260251,2026-03-11,0.044,1.487,2.969,0.91,150.2,PASS,1207.7,KT-105
TM4200-260252,2026-03-11,0.026,1.535,3.066,0.68,149.6,PASS,1200.4,KT-105
TM4200-260253,2026-03-11,0.044,1.528,3.041,0.92,149.9,PASS,1202.7,KT-105
TM4200-260254,2026-03-11,0.044,1.577,3.034,0.89,149.5,PASS,1198.4,KT-101
TM4200-260255,2026-03-11,0.046,1.477,2.985,0.79,149.7,PASS,1196.0,KT-102
TM4200-260256,2026-03-11,0.041,1.485,3.034,0.71,150.3,PASS,1210.1,KT-104
TM4200-260257,2026-03-11,0.043,1.491,2.961,0.83,150.0,PASS,1198.9,KT-104
TM4200-260258,2026-03-11,0.048,1.485,2.984,0.91,149.9,PASS,1197.3,KT-102
TM4200-260259,2026-03-11,0.053,1.473,3.058,1.21,149.8,PASS,1206.6,KT-101
TM4200-260260,2026-03-11,0.044,1.417,3.052,0.99,149.9,PASS,1195.7,KT-101
TM4200-260261,2026-03-11,0.043,1.487,2.941,1.0,150.1,PASS,1196.4,KT-104
TM4200-260262,2026-03-11,0.049,1.511,2.949,1.42,150.3,PASS,1200.1,KT-103
TM4200-260263,2026-03-11,0.025,1.485,3.007,0.9,149.2,PASS,1200.0,KT-103
TM4200-260264,2026-03-11,0.054,1.558,3.104,0.9,149.8,PASS,1201.6,KT-105
TM4200-260265,2026-03-11,0.048,1.5,2.885,0.94,150.0,PASS,1212.6,KT-101
TM4200-260266,2026-03-11,0.048,1.539,3.017,0.6,150.0,PASS,1202.0,KT-104
TM4200-260267,2026-03-11,0.06,1.508,2.917,0.71,150.1,PASS,1185.7,KT-102
TM4200-260268,2026-03-11,0.025,1.525,2.962,0.7,150.1,PASS,1202.0,KT-105
TM4200-260269,2026-03-11,0.024,1.508,2.978,0.93,149.9,PASS,1200.2,KT-105
TM4200-260270,2026-03-11,0.051,1.541,2.975,0.77,149.8,PASS,1200.3,KT-103
TM4200-260271,2026-03-11,0.048,1.502,2.968,0.83,149.9,PASS,1201.5,KT-102
TM4200-260272,2026-03-11,0.05,1.515,3.0,1.02,150.3,PASS,1199.8,KT-102
TM4200-260273,2026-03-11,0.042,1.511,2.968,0.97,149.8,PASS,1199.7,KT-101
TM4200-260274,2026-03-11,0.056,1.491,2.912,0.77,150.0,PASS,1203.7,KT-105
TM4200-260275,2026-03-11,0.059,1.512,3.047,0.67,146.6,FAIL,1196.7,KT-101
TM4200-260276,2026-03-12,0.054,1.567,3.045,1.03,150.5,PASS,1194.3,KT-103
TM4200-260277,2026-03-12,0.045,1.492,3.051,0.95,149.9,PASS,1218.1,KT-103
TM4200-260278,2026-03-12,0.023,1.513,2.908,0.48,150.3,PASS,1195.7,KT-104
TM4200-260279,2026-03-12,0.057,1.538,3.018,0.74,150.4,PASS,1200.6,KT-105
TM4200-260280,2026-03-12,0.063,1.534,3.041,0.83,150.0,PASS,1191.0,KT-103
TM4200-260281,2026-03-12,0.056,1.5,2.938,0.96,149.9,PASS,1200.7,KT-104
TM4200-260282,2026-03-12,0.037,1.428,3.001,0.98,149.9,PASS,1194.4,KT-103
