cycle_number,min_temp_c,max_temp_c,delta_t_c,coolant_flow_rate_lpm,pressure_drop_kpa,visual_inspection,notes
191,-39.9,84.8,124.7,5.98,22.21,PASS,
192,-40.5,84.8,125.3,5.93,22.2,PASS,
193,-39.4,84.5,123.9,5.98,22.09,PASS,
194,-40.4,84.6,125.0,5.98,22.08,PASS,
195,-39.9,85.2,125.0,6.0,22.51,PASS,
196,-39.9,84.6,124.4,5.96,22.52,PASS,
197,-39.9,85.3,125.2,5.93,22.24,PASS,
198,-40.1,84.7,124.9,5.95,22.28,PASS,
199,-39.8,84.5,124.3,5.95,22.09,PASS,
200,-40.5,84.8,125.3,5.98,22.34,PASS,
201,-40.0,85.1,125.2,5.92,22.51,PASS,
202,-40.2,84.9,125.1,5.96,22.01,PASS,
203,-40.2,85.0,125.2,6.0,22.31,PASS,
204,-39.9,85.3,125.1,5.97,22.33,PASS,
205,-39.7,85.4,125.1,5.99,22.33,PASS,
206,-40.1,84.9,125.0,5.94,22.49,PASS,
207,-39.8,84.6,124.3,5.94,22.55,PASS,
208,-40.0,85.0,125.0,6.0,22.21,PASS,
209,-40.3,85.2,125.5,5.97,22.35,PASS,
210,-40.1,84.4,124.5,5.97,22.26,PASS,
211,-40.1,84.6,124.7,5.95,22.16,PASS,
212,-40.2,84.7,124.9,5.97,22.3,PASS,
213,-39.9,84.9,124.8,5.95,22.36,PASS,
214,-39.9,84.7,124.6,5.99,22.29,PASS,
215,-40.5,85.3,125.8,6.02,22.13,PASS,
216,-40.5,84.4,124.9,5.98,22.19,PASS,
217,-39.9,84.4,124.2,5.95,22.19,PASS,
218,-40.2,84.9,125.1,5.92,22.14,PASS,
219,-39.9,84.9,124.8,5.93,22.31,PASS,
220,-39.8,84.4,124.2,6.0,22.33,PASS,
221,-40.4,84.8,125.1,5.95,22.41,PASS,
222,-40.4,84.8,125.3,5.96,22.14,PASS,
223,-39.5,84.8,124.3,5.98,22.18,PASS,
224,-39.9,85.1,125.0,6.0,22.5,PASS,
225,-40.1,84.7,124.9,5.96,22.25,PASS,
226,-40.3,85.6,125.9,5.96,22.28,PASS,
227,-40.2,85.2,125.3,5.97,22.25,PASS,
228,-40.4,84.7,125.0,5.95,22.44,PASS,
229,-39.7,85.0,124.8,5.95,22.45,PASS,
230,-40.2,85.0,125.3,5.97,22.44,PASS,
231,-39.7,85.5,125.2,5.97,22.28,PASS,
232,-40.1,84.8,124.9,6.01,22.15,PASS,
233,-40.3,85.3,125.6,5.97,22.57,PASS,
234,-40.1,85.0,125.1,5.99,22.41,PASS,
235,-40.8,85.6,126.4,5.94,22.21,PASS,
236,-40.0,85.5,125.6,5.98,22.5,PASS,
237,-40.1,85.1,125.1,5.95,22.2,PASS,
238,-39.8,84.9,124.6,5.97,22.5,PASS,
239,-40.6,85.2,125.8,5.98,22.51,PASS,
240,-39.7,84.9,124.6,5.96,22.15,PASS,
241,-39.8,85.7,125.4,6.01,22.38,PASS,
242,-39.6,85.0,124.7,5.99,22.41,PASS,
243,-40.0,84.8,124.9,5.99,22.68,PASS,
244,-39.7,84.8,124.5,5.98,22.18,PASS,
245,-40.4,84.5,125.0,6.0,22.51,PASS,
246,-39.8,85.2,125.0,5.93,22.3,PASS,
247,-40.2,84.7,124.9,5.99,22.11,PASS,
248,-40.5,85.4,125.9,5.94,22.28,PASS,
249,-40.3,84.5,124.8,5.95,22.3,PASS,
250,-40.0,85.1,125.0,5.97,22.14,PASS,250-cycle periodic check: nominal
251,-40.2,85.5,125.7,5.99,22.35,PASS,
252,-39.9,84.1,124.0,5.94,22.45,PASS,
253,-40.5,85.8,126.3,5.95,22.34,PASS,
254,-40.6,84.8,125.5,5.96,22.22,PASS,
255,-39.6,85.1,124.6,5.96,22.28,PASS,
256,-39.7,85.2,125.0,5.98,22.31,PASS,
257,-40.3,85.3,125.6,6.03,22.34,PASS,
258,-40.0,85.1,125.1,5.97,22.48,PASS,
259,-39.7,85.4,125.1,5.95,22.35,PASS,
260,-39.9,85.2,125.1,5.94,22.1,PASS,
261,-40.0,85.7,125.7,5.95,22.23,PASS,
262,-39.7,85.2,124.9,5.94,22.34,PASS,
263,-40.2,85.8,126.0,5.97,22.48,PASS,
264,-40.0,85.4,125.4,5.97,22.51,PASS,
265,-40.0,84.3,124.3,5.95,22.58,PASS,
266,-40.1,86.0,126.1,6.0,22.34,PASS,
267,-40.1,84.8,124.9,5.95,22.43,PASS,
268,-40.0,85.6,125.6,5.96,22.1,PASS,
269,-40.0,85.0,125.0,5.97,22.39,PASS,
270,-40.3,85.4,125.7,5.98,22.16,PASS,
271,-39.8,84.7,124.5,5.98,22.32,PASS,
272,-40.3,85.3,125.5,5.97,22.78,PASS,
273,-40.1,84.9,125.0,5.98,22.37,PASS,
274,-40.1,85.6,125.7,5.95,22.2,PASS,
275,-39.9,85.2,125.1,5.98,22.39,PASS,
276,-40.6,85.4,126.0,5.98,22.25,PASS,
277,-39.7,84.1,123.9,5.99,22.19,PASS,
278,-40.2,85.0,125.2,5.92,22.65,PASS,
279,-39.6,85.2,124.8,5.94,22.49,PASS,
280,-40.1,85.1,125.2,5.97,22.39,PASS,
281,-40.0,85.4,125.4,5.9,22.28,PASS,
282,-39.4,84.9,124.3,5.97,22.29,PASS,
283,-40.1,85.0,125.1,5.98,22.57,PASS,
284,-39.6,85.5,125.1,5.95,22.39,PASS,
285,-40.0,84.1,124.1,5.95,21.88,PASS,
286,-39.9,85.2,125.1,5.94,22.71,PASS,
287,-40.0,84.9,124.8,5.95,22.37,PASS,
288,-39.7,84.6,124.4,5.95,22.4,PASS,
289,-40.2,85.1,125.3,5.94,22.51,PASS,
290,-40.3,85.5,125.8,5.94,22.42,PASS,
291,-40.2,85.4,125.6,5.95,22.46,PASS,
292,-40.0,84.9,124.9,5.95,22.29,PASS,
293,-40.1,85.4,125.4,5.99,22.17,PASS,
294,-39.8,85.3,125.1,5.95,22.39,PASS,
295,-39.6,85.0,124.6,5.96,22.57,PASS,
296,-40.3,84.7,125.0,5.94,22.26,PASS,
297,-40.2,84.7,125.0,5.94,22.25,PASS,
298,-40.4,85.3,125.8,5.92,22.54,PASS,
299,-39.4,85.0,124.4,5.92,22.29,PASS,
300,-39.9,84.6,124.5,5.93,22.3,PASS,
301,-39.9,84.3,124.2,5.96,22.31,PASS,
302,-40.4,85.3,125.7,5.98,22.35,PASS,
303,-40.0,84.8,124.8,5.92,22.13,PASS,
304,-39.8,85.1,125.0,5.94,22.28,PASS,
305,-40.1,85.5,125.6,5.93,22.4,PASS,
306,-39.7,84.5,124.2,5.95,22.4,PASS,
307,-39.3,85.0,124.3,5.98,22.54,PASS,
308,-40.3,84.9,125.2,5.94,22.65,PASS,
309,-40.3,85.2,125.5,5.95,22.6,PASS,
310,-40.3,85.5,125.8,5.98,22.51,PASS,
311,-39.5,84.5,124.0,5.96,22.35,PASS,
312,-39.7,85.2,124.9,5.94,22.28,PASS,
313,-40.0,85.4,125.5,5.96,22.38,PASS,
314,-40.0,84.9,124.9,5.94,22.46,PASS,
315,-40.2,84.9,125.2,5.96,22.5,PASS,
316,-39.7,85.2,124.9,5.96,22.47,PASS,
317,-40.1,85.1,125.3,5.93,22.36,PASS,
318,-40.1,85.2,125.3,5.96,22.5,PASS,
319,-39.8,85.2,125.0,5.95,22.57,PASS,
320,-40.1,84.6,124.7,5.96,22.52,PASS,
321,-40.1,85.4,125.5,5.97,22.38,PASS,
322,-40.0,85.5,125.5,5.96,22.26,PASS,
323,-39.8,85.1,124.8,5.95,22.26,PASS,
324,-39.5,84.4,123.9,5.97,22.29,PASS,
325,-39.8,85.0,124.8,5.93,22.43,PASS,
326,-39.8,85.1,124.8,5.92,22.47,PASS,
327,-40.1,84.5,124.6,5.89,22.18,PASS,
328,-40.2,84.9,125.1,5.95,22.32,PASS,
329,-39.8,84.4,124.2,5.93,22.43,PASS,
330,-39.9,85.2,125.2,5.96,22.26,PASS,
331,-40.4,85.1,125.5,5.91,22.46,PASS,
332,-40.1,84.3,124.4,5.94,22.35,PASS,
333,-40.0,85.1,125.2,5.96,22.29,PASS,
334,-40.2,85.0,125.1,5.93,22.41,PASS,
335,-39.6,85.2,124.8,5.96,22.46,PASS,
336,-39.9,84.8,124.7,5.94,22.28,PASS,
337,-39.6,84.7,124.3,5.95,22.37,PASS,
338,-39.9,84.7,124.6,5.96,22.48,PASS,
339,-40.0,84.8,124.8,5.97,22.29,PASS,
340,-40.3,85.0,125.3,5.95,22.16,PASS,
341,-40.0,85.1,125.1,5.93,22.18,PASS,
342,-40.0,84.9,124.9,5.94,22.35,PASS,
343,-40.4,84.8,125.2,5.96,22.21,PASS,
344,-40.2,84.9,125.0,5.93,22.36,PASS,
345,-40.1,86.0,126.1,5.94,22.66,PASS,
346,-39.9,84.7,124.6,5.94,22.21,PASS,
347,-39.9,84.8,124.6,5.95,22.37,PASS,
348,-40.2,86.3,126.5,5.93,22.74,PASS,
349,-39.9,85.2,125.0,5.91,22.48,PASS,
350,-40.1,84.4,124.5,5.96,22.36,PASS,
351,-40.9,85.3,126.2,5.97,22.4,PASS,
352,-40.1,84.6,124.8,5.91,22.49,PASS,
353,-39.7,85.4,125.0,5.95,22.68,PASS,
354,-40.5,84.9,125.4,5.97,22.35,PASS,
355,-40.0,84.8,124.8,5.96,22.31,PASS,
356,-39.5,85.6,125.2,5.94,22.22,PASS,
357,-40.2,85.2,125.5,5.93,22.44,PASS,
358,-40.0,85.4,125.4,5.95,22.22,PASS,
359,-40.4,85.2,125.6,5.95,22.36,PASS,
360,-39.5,84.8,124.3,5.95,22.3,PASS,
361,-40.0,85.2,125.3,5.94,22.59,PASS,
362,-40.0,85.5,125.5,5.92,22.36,PASS,
363,-39.6,85.1,124.6,5.95,22.5,PASS,
364,-39.8,85.7,125.5,5.95,22.2,PASS,
365,-40.3,85.3,125.6,5.95,22.46,PASS,
366,-40.2,85.1,125.3,5.95,22.26,PASS,
367,-39.9,85.1,125.0,5.98,22.38,PASS,
368,-40.2,85.1,125.2,5.93,22.77,PASS,
369,-40.6,84.5,125.1,5.97,22.58,PASS,
370,-40.0,85.0,125.0,5.93,22.42,PASS,
371,-40.4,85.1,125.5,5.97,22.93,PASS,
372,-39.5,84.8,124.3,5.97,22.31,PASS,
373,-39.9,85.1,125.1,5.94,22.62,PASS,
374,-40.3,85.0,125.3,5.98,22.22,PASS,
375,-40.2,85.3,125.5,5.95,22.41,PASS,
376,-40.6,85.3,125.8,5.93,22.25,PASS,
377,-40.3,85.1,125.4,5.94,22.49,PASS,
378,-39.7,84.5,124.1,5.97,22.46,PASS,
379,-39.3,85.7,125.0,5.96,22.41,PASS,
380,-39.8,84.9,124.7,5.92,22.62,PASS,
381,-40.0,85.0,125.0,5.94,22.37,PASS,
382,-40.1,84.9,125.0,5.95,22.51,PASS,
383,-40.3,84.8,125.1,5.93,22.58,PASS,
384,-39.4,85.6,125.0,5.99,22.24,PASS,
385,-40.1,85.6,125.6,5.95,22.35,PASS,
386,-39.4,85.2,124.5,5.94,22.47,PASS,
387,-39.6,85.0,124.5,5.97,22.56,PASS,
388,-40.5,85.2,125.8,5.93,22.68,PASS,
389,-40.2,85.0,125.2,5.96,22.43,PASS,
390,-40.2,84.9,125.1,5.91,22.42,PASS,
391,-40.0,85.1,125.2,5.93,22.34,PASS,
392,-40.0,84.8,124.8,5.96,22.52,PASS,
393,-39.1,85.1,124.2,5.97,22.43,PASS,
394,-40.3,85.1,125.4,5.93,22.43,PASS,
395,-39.9,85.2,125.2,5.92,22.46,PASS,
396,-39.8,84.8,124.6,5.95,22.56,PASS,
397,-40.0,85.3,125.3,5.93,22.39,PASS,
398,-40.0,84.6,124.6,5.93,22.36,PASS,
399,-40.3,84.8,125.1,5.96,22.54,PASS,
400,-40.0,84.8,124.8,5.93,22.03,PASS,
401,-39.8,84.6,124.4,5.9,22.39,PASS,
402,-39.9,85.4,125.3,5.91,22.31,PASS,
403,-39.8,84.6,124.4,5.94,22.66,PASS,
404,-39.6,84.7,124.3,5.9,22.42,PASS,
405,-39.7,85.5,125.2,5.93,22.4,PASS,
406,-40.0,84.8,124.8,5.91,22.48,PASS,
407,-40.4,84.9,125.3,5.97,22.4,PASS,
408,-40.2,84.6,124.8,5.98,22.43,PASS,
409,-40.1,85.3,125.4,5.92,22.51,PASS,
410,-39.9,85.3,125.3,5.94,22.43,PASS,
411,-40.1,85.3,125.4,5.92,22.43,PASS,
412,-40.3,85.2,125.5,5.93,22.34,PASS,
413,-40.4,85.0,125.4,5.97,22.32,PASS,
414,-40.5,84.8,125.3,5.93,22.51,PASS,
415,-40.1,84.7,124.7,5.93,22.54,PASS,
416,-40.4,85.5,126.0,5.92,22.28,PASS,
417,-40.3,85.3,125.6,5.96,22.61,PASS,
418,-40.1,84.7,124.8,5.87,22.62,PASS,
419,-40.4,85.0,125.4,5.93,22.65,PASS,
420,-39.9,84.9,124.8,5.94,22.55,PASS,
421,-39.8,84.5,124.3,5.92,22.6,PASS,
422,-40.2,85.1,125.2,5.95,22.83,PASS,
423,-40.1,84.8,125.0,5.96,22.46,PASS,
424,-39.8,84.6,124.5,5.91,22.35,PASS,
425,-40.2,84.4,124.6,5.98,22.28,PASS,
426,-40.2,84.4,124.6,5.91,22.77,PASS,
427,-39.6,84.9,124.5,5.96,22.78,PASS,
428,-39.7,85.0,124.7,5.94,22.37,PASS,
429,-39.8,84.6,124.5,5.93,22.41,PASS,
430,-39.7,85.3,125.0,5.93,22.47,PASS,
431,-40.6,85.0,125.6,5.93,22.7,PASS,
432,-39.6,85.2,124.8,5.94,22.33,PASS,
433,-39.9,84.9,124.8,5.92,22.22,PASS,
434,-39.7,84.7,124.4,5.93,22.85,PASS,
435,-39.9,85.0,124.9,5.92,22.57,PASS,
436,-40.0,84.5,124.5,5.91,22.59,PASS,
437,-40.1,85.2,125.3,5.92,22.49,PASS,
438,-39.9,84.6,124.5,5.91,22.6,PASS,
439,-40.1,85.4,125.5,5.93,22.3,PASS,
440,-39.7,84.9,124.6,5.94,22.4,PASS,
441,-40.5,85.4,125.9,5.94,22.54,PASS,
442,-40.2,84.6,124.7,5.97,22.19,PASS,
443,-39.4,84.7,124.1,5.89,22.49,PASS,
444,-40.2,85.2,125.3,5.94,22.48,PASS,
445,-40.1,85.5,125.5,5.93,22.49,PASS,
446,-40.3,85.7,125.9,5.95,22.45,PASS,
447,-39.9,85.0,124.9,5.95,22.39,PASS,
448,-40.2,85.7,126.0,5.93,22.26,PASS,
449,-40.1,84.9,124.9,5.94,22.56,PASS,
450,-39.7,85.4,125.2,5.92,22.49,PASS,
451,-40.2,84.6,124.8,5.94,22.33,PASS,
452,-39.8,85.2,124.9,5.89,22.55,PASS,
453,-39.8,84.1,123.8,5.95,22.5,PASS,
454,-39.7,84.6,124.2,5.93,22.48,PASS,
455,-40.0,85.2,125.1,5.92,22.22,PASS,
456,-39.0,84.5,123.5,5.93,22.65,PASS,
457,-39.7,85.2,124.9,5.93,22.36,PASS,
458,-39.9,85.4,125.3,5.96,22.56,PASS,
459,-40.3,84.8,125.1,6.0,22.43,PASS,
460,-40.0,84.6,124.6,5.96,22.49,PASS,
461,-39.6,84.8,124.4,5.92,22.73,PASS,
462,-39.5,84.6,124.1,5.94,22.63,PASS,
463,-39.6,85.0,124.5,5.94,22.73,PASS,
464,-39.8,85.0,124.8,5.91,22.61,PASS,
465,-40.4,84.9,125.3,5.91,22.62,PASS,
466,-39.9,85.7,125.5,5.93,22.29,PASS,
467,-40.4,84.7,125.1,5.95,22.51,PASS,
468,-40.4,85.6,126.0,5.9,22.53,PASS,
469,-39.9,84.6,124.5,5.92,22.75,PASS,
470,-39.8,85.0,124.9,5.94,22.49,PASS,
471,-39.7,85.5,125.2,5.93,22.6,PASS,
472,-39.9,85.5,125.3,5.96,22.6,PASS,
473,-39.8,84.8,124.7,5.9,22.74,PASS,
474,-40.3,85.2,125.5,5.98,22.55,PASS,
475,-40.0,85.2,125.2,5.9,22.69,PASS,
476,-40.5,84.8,125.2,5.89,22.32,PASS,
477,-40.6,85.2,125.8,5.93,22.33,PASS,
478,-39.8,85.7,125.5,5.91,22.23,PASS,
479,-40.2,85.2,125.4,5.93,22.69,PASS,
480,-39.7,85.2,125.0,5.93,22.68,PASS,
481,-39.7,85.3,124.9,5.92,22.71,PASS,
482,-40.2,84.4,124.6,5.91,22.48,PASS,
483,-39.8,85.2,125.0,5.94,22.5,PASS,
484,-40.2,84.6,124.8,5.92,22.56,PASS,
485,-40.6,84.8,125.3,5.95,22.8,PASS,
486,-40.0,85.9,125.8,5.92,22.84,PASS,
487,-40.1,84.9,125.0,5.91,22.7,PASS,
488,-40.1,84.7,124.8,5.89,22.64,PASS,
489,-39.4,85.5,124.9,5.92,22.79,PASS,
490,-40.5,84.6,125.1,5.9,22.55,PASS,
491,-39.9,84.8,124.7,5.9,22.53,PASS,
492,-40.3,85.5,125.8,5.94,22.57,PASS,
493,-39.7,85.0,124.7,5.89,22.44,PASS,
494,-39.9,84.4,124.3,5.95,22.57,PASS,
495,-39.9,85.2,125.1,5.93,22.43,PASS,
